Fuel_Type,Gearbox_Automatic,Gearbox_Manual,Gearbox_Semi-automatic,Mileage_km,Price,Year,Gears,Power_hp,Engine_Size_cc,Cylinders
1.0,0.0,0.0,1.0,10.0,36.99,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,31700.0,39.9,2024.0,6.0,209.0,2143.0,4.0
1.0,0.0,0.0,1.0,63000.0,23.5,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,1.0,28.95,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,10.0,31.99,2025.0,6.0,131.0,1469.0,4.0
1.0,1.0,0.0,0.0,107104.0,22.05,2021.0,6.0,190.0,2275.0,5.0
1.0,1.0,0.0,0.0,10.0,28.4,2025.0,6.0,136.0,2275.0,3.0
1.0,1.0,0.0,0.0,1.0,27.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.9,2025.0,6.0,145.0,1199.0,3.0
1.0,0.0,1.0,0.0,223000.0,6.9,2011.0,6.0,105.0,1598.0,4.0
1.0,1.0,0.0,0.0,10.0,29.85,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.1,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,30000.0,31.9,2023.0,6.0,179.0,1332.0,4.0
1.0,1.0,0.0,0.0,25007.0,39.89,2024.0,6.0,209.0,2143.0,4.0
1.0,1.0,0.0,0.0,1.0,32.99,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,10.0,34.99,2025.0,6.0,160.0,1469.0,4.0
1.0,1.0,0.0,0.0,32184.0,27.7,2024.0,6.0,160.0,1469.0,4.0
1.0,0.0,0.0,1.0,37800.0,32.9,2024.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,1.0,27.95,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.1,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,24000.0,31.7,2024.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,10.0,29.1,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,6233.0,26.9,2024.0,6.0,131.0,2275.0,5.0
1.0,1.0,0.0,0.0,1.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,29.2,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,2873.0,28.7,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,27.99,2025.0,6.0,136.0,1199.0,5.0
1.0,1.0,0.0,0.0,10.0,30.1,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,28.45,2026.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.9,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,37400.0,26.9,2023.0,6.0,131.0,1469.0,4.0
1.0,1.0,0.0,0.0,1.0,32.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,12300.0,41.99,2024.0,6.0,209.0,2143.0,4.0
1.0,1.0,0.0,0.0,1.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,30600.0,27.8,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,10.0,28.7,2024.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,31.9,2024.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,137307.0,26.45,2019.0,6.0,179.0,2143.0,4.0
1.0,1.0,0.0,0.0,10.0,30.1,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,29.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,30.1,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.9,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,23845.0,27.59,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,10.0,27.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,30000.0,31.9,2023.0,6.0,179.0,1332.0,4.0
