fuel,price,year,subcategory,transmission
Gasolina,20500.0,2021,camioneta,automatica
Gasolina,15000.0,2015,camioneta,automatica
Gasolina,16000.0,2018,camioneta,automatica
Gasolina,17500.0,2015,camioneta,automatica
Gasolina,19500.0,2023,camioneta,mecanica
Gasolina,69900.0,2019,sedan,automatica
Gasolina,10000.0,2012,camioneta,mecanica
Gasolina,18900.0,2018,camioneta,automatica
Gasolina,19200.0,2024,sedan,mecanica
Gasolina,26500.0,2022,camioneta,automatica
Gasolina,23500.0,2023,camioneta,automatica
Gasolina,11900.0,2015,camioneta,mecanica
Dual,16500.0,2023,sedan,automatica
Gasolina,14500.0,2019,camioneta,automatica
Gasolina,17000.0,2017,camioneta,automatica
Gasolina,13900.0,2018,sedan,mecanica
Gasolina,25000.0,2021,camioneta,automatica
Gasolina,28500.0,2022,camioneta,automatica
Dual,18750.0,2021,camioneta,mecanica
Gasolina,28000.0,2020,camioneta,automatica
Gasolina,9900.0,2012,camioneta,automatica
Dual,11800.0,2013,sedan,mecanica
Gasolina,21500.0,2019,camioneta,automatica
Gasolina,15900.0,2023,camioneta,mecanica
Gasolina,20999.0,2023,camioneta,automatica
Gasolina,13500.0,2017,sedan,automatica
Gasolina,42500.0,2022,camioneta,automatica
Gasolina,43900.0,2018,camioneta,automatica
Gasolina,8000.0,2008,sedan,automatica
Gasolina,11600.0,2009,camioneta,automatica
Gasolina,10800.0,2015,camioneta,mecanica
Gasolina,14000.0,2020,sedan,automatica
Gasolina,16500.0,2015,sedan,automatica
Gasolina,32500.0,2019,camioneta,automatica
Gasolina,30000.0,2017,camioneta,automatica
Gasolina,23200.0,2023,camioneta,mecanica
Gasolina,26300.0,2023,camioneta,automatica
Gasolina,12599.0,2018,camioneta,automatica
Gasolina,22000.0,2021,camioneta,automatica
Gasolina,12800.0,2018,camioneta,automatica
Gasolina,26900.0,2024,camioneta,automatica
Gasolina,38500.0,2024,camioneta,automatica
Gasolina,34499.0,2024,camioneta,automatica
Dual,18500.0,2025,camioneta,mecanica
Gasolina,11500.0,1963,sedan,mecanica
Gasolina,21800.0,2024,camioneta,automatica
Gasolina,18400.0,2018,camioneta,automatica
Gasolina,14500.0,2013,camioneta,automatica
Gasolina,32000.0,2020,camioneta,automatica
Gasolina,17300.0,2018,camioneta,automatica
Dual,9200.0,2014,sedan,mecanica
Gasolina,23990.0,2025,camioneta,automatica
Gasolina,16500.0,2016,sedan,automatica
Gasolina,18800.0,2020,camioneta,mecanica
Gasolina,9000.0,2015,sedan,mecanica
Gasolina,42500.0,2015,camioneta,automatica
Gasolina,16900.0,2024,camioneta,automatica
Dual,8550.0,2019,sedan,mecanica
Gasolina,35000.0,2021,camioneta,automatica
Gasolina,18900.0,2020,camioneta,automatica
Gasolina,32500.0,2021,camioneta,automatica
Gasolina,5990.0,2010,camioneta,mecanica
Gasolina,16900.0,2023,camioneta,mecanica
Gasolina,18000.0,2019,camioneta,mecanica
Gasolina,20800.0,2022,camioneta,mecanica
Gasolina,10500.0,2013,camioneta,automatica
Gasolina,17700.0,2023,camioneta,mecanica
Gasolina,14600.0,2012,sedan,automatica
Gasolina,22200.0,2018,camioneta,automatica
Gasolina,11300.0,2016,sedan,mecanica
Gasolina,7200.0,2015,sedan,mecanica
Gasolina,18500.0,2017,camioneta,automatica
Gasolina,38500.0,2024,camioneta,automatica
Gasolina,7900.0,2014,camioneta,mecanica
Gasolina,11000.0,2010,sedan,automatica
Gasolina,20900.0,2016,camioneta,automatica
Gasolina,33000.0,2023,camioneta,automatica
Gasolina,10700.0,2013,camioneta,automatica
Gasolina,22800.0,2020,camioneta,automatica
Gasolina,20500.0,2014,camioneta,automatica
Gasolina,15350.0,2019,camioneta,automatica
Gasolina,15000.0,2020,camioneta,automatica
Gasolina,22000.0,2019,sedan,mecanica
Gasolina,17000.0,2025,sedan,mecanica
Dual,12900.0,2014,camioneta,automatica
Dual,13300.0,2023,sedan,mecanica
Gasolina,24900.0,2020,camioneta,automatica
Gasolina,38000.0,2021,camioneta,automatica
Gasolina,40000.0,2021,camioneta,automatica
Gasolina,16499.0,2018,camioneta,mecanica
Gasolina,18900.0,2025,sedan,mecanica
Gasolina,18900.0,2022,camioneta,automatica
Gasolina,20500.0,2020,camioneta,automatica
Gasolina,9990.0,2011,sedan,automatica
Gasolina,6350.0,2008,sedan,mecanica
Gasolina,18500.0,2020,camioneta,automatica
Gasolina,11500.0,2014,sedan,automatica
Gasolina,14000.0,2019,camioneta,mecanica
Gasolina,18000.0,2018,camioneta,automatica
Gasolina,17500.0,2023,camioneta,automatica
Gasolina,30000.0,2016,camioneta,automatica
Gasolina,23000.0,2022,camioneta,automatica
Gasolina,22900.0,2018,camioneta,automatica
Gasolina,23990.0,2025,camioneta,automatica
Dual,23900.0,2007,camioneta,mecanica
Gasolina,7500.0,1967,sedan,mecanica
Gasolina,28000.0,2024,camioneta,automatica
Gasolina,5800.0,2001,camioneta,automatica
Gasolina,17800.0,2019,sedan,automatica
Gasolina,27800.0,2024,camioneta,automatica
Gasolina,7300.0,2004,camioneta,automatica
Gasolina,15600.0,2015,camioneta,automatica
Gasolina,52450.0,2019,camioneta,automatica
Dual,5500.0,2010,sedan,mecanica
Gasolina,19000.0,2023,camioneta,automatica
Gasolina,41000.0,2017,camioneta,automatica
Gasolina,5000.0,2008,sedan,automatica
Gasolina,39900.0,2023,sedan,automatica
Gasolina,16900.0,2024,camioneta,mecanica
Gasolina,15400.0,2013,camioneta,automatica
Gasolina,23000.0,2013,camioneta,automatica
Gasolina,23900.0,2023,camioneta,automatica
Gasolina,6950.0,2013,camioneta,mecanica
Gasolina,27000.0,2015,camioneta,automatica
Gasolina,19500.0,2023,camioneta,automatica
Gasolina,9500.0,2011,camioneta,mecanica
Gasolina,15900.0,2022,camioneta,automatica
Dual,18200.0,2024,camioneta,mecanica
Gasolina,14900.0,2024,sedan,automatica
Gasolina,13900.0,2016,sedan,automatica
Gasolina,7900.0,2010,sedan,automatica
Gasolina,19900.0,2018,sedan,automatica
Gasolina,16000.0,2018,camioneta,automatica
Gasolina,27000.0,2016,camioneta,automatica
Gasolina,29200.0,2017,camioneta,automatica
Gasolina,14700.0,2016,camioneta,mecanica
Gasolina,15700.0,2026,camioneta,mecanica
Gasolina,2500.0,1992,sedan,mecanica
Dual,11900.0,2019,camioneta,mecanica
Gasolina,15000.0,2012,camioneta,automatica
Gasolina,8500.0,2005,sedan,automatica
Gasolina,22000.0,2016,camioneta,automatica
Gasolina,19000.0,2022,camioneta,automatica
Gasolina,23000.0,2015,sedan,automatica
Gasolina,18500.0,2017,camioneta,automatica
Gasolina,8990.0,1969,sedan,mecanica
Dual,12549.0,2011,camioneta,automatica
Gasolina,33500.0,2022,camioneta,automatica
Gasolina,16000.0,2018,camioneta,automatica
Gasolina,26900.0,2023,camioneta,automatica
Gasolina,12900.0,2019,sedan,mecanica
Gasolina,28900.0,2020,sedan,automatica
Gasolina,13990.0,2016,camioneta,automatica
Gasolina,21200.0,2018,sedan,automatica
Gasolina,11490.0,2016,sedan,automatica
Gasolina,15990.0,2015,camioneta,automatica
Gasolina,17990.0,2017,camioneta,automatica
Dual,13990.0,2019,camioneta,automatica
Gasolina,21900.0,2018,camioneta,automatica
Gasolina,33900.0,2018,camioneta,automatica
Gasolina,18990.0,2017,sedan,automatica
Gasolina,10990.0,2012,sedan,automatica
Gasolina,21500.0,2023,camioneta,automatica
Gasolina,11500.0,2022,camioneta,automatica
Gasolina,9500.0,2014,camioneta,automatica
Gasolina,15490.0,2018,camioneta,automatica
Gasolina,22500.0,2019,sedan,automatica
Gasolina,9900.0,2010,sedan,automatica
Gasolina,52900.0,2025,camioneta,automatica
Gasolina,13990.0,2023,camioneta,mecanica
Gasolina,16990.0,2021,sedan,automatica
Gasolina,12550.0,2021,sedan,mecanica
Gasolina,19990.0,2014,camioneta,automatica
Gasolina,19990.0,2020,camioneta,automatica
Gasolina,14800.0,2020,camioneta,mecanica
Dual,10000.0,2022,sedan,mecanica
Dual,9000.0,2021,sedan,mecanica
Dual,9500.0,2012,sedan,automatica
Gasolina,15999.0,2022,camioneta,mecanica
Gasolina,8400.0,2017,camioneta,mecanica
Gasolina,29800.0,2021,camioneta,automatica
Gasolina,16900.0,2016,camioneta,automatica
Gasolina,16800.0,2015,camioneta,automatica
Gasolina,15500.0,2013,sedan,mecanica
Dual,10200.0,2018,sedan,automatica
Gasolina,21000.0,2022,camioneta,automatica
Gasolina,13690.0,2020,camioneta,automatica
Gasolina,19000.0,2017,camioneta,automatica
Gasolina,26500.0,2022,sedan,automatica
Gasolina,26000.0,2016,sedan,automatica
Gasolina,18500.0,2018,sedan,automatica
Gasolina,15500.0,2015,camioneta,automatica
Gasolina,15600.0,2014,camioneta,automatica
Gasolina,8000.0,2019,sedan,mecanica
Gasolina,16500.0,2019,camioneta,automatica
Gasolina,19000.0,2022,camioneta,mecanica
Gasolina,21000.0,2017,camioneta,automatica
Gasolina,16900.0,2023,camioneta,mecanica
Gasolina,14000.0,2018,camioneta,automatica
Gasolina,11900.0,2012,camioneta,automatica
Gasolina,13500.0,2017,camioneta,mecanica
Gasolina,11500.0,2015,camioneta,automatica
Gasolina,12500.0,2022,camioneta,mecanica
Gasolina,12000.0,2012,camioneta,automatica
Gasolina,18700.0,2024,camioneta,mecanica
Dual,12000.0,2020,camioneta,mecanica
Gasolina,10000.0,2008,camioneta,automatica
Gasolina,34000.0,2023,camioneta,automatica
Gasolina,15900.0,2018,camioneta,mecanica
Gasolina,12500.0,2014,camioneta,automatica
Gasolina,8900.0,2012,sedan,automatica
Gasolina,22200.0,2023,sedan,automatica
Gasolina,11000.0,2016,sedan,mecanica
Gasolina,11500.0,2014,sedan,automatica
Gasolina,9000.0,2014,sedan,mecanica
Gasolina,14900.0,2023,sedan,mecanica
Gasolina,38000.0,2019,camioneta,automatica
Gasolina,10000.0,2012,camioneta,mecanica
Gasolina,7900.0,2008,camioneta,automatica
Gasolina,25000.0,2017,camioneta,automatica
Dual,23000.0,2015,camioneta,automatica
Gasolina,24500.0,2023,camioneta,automatica
Gasolina,19900.0,2016,camioneta,automatica
Gasolina,14900.0,2013,camioneta,automatica
Gasolina,21900.0,2019,camioneta,automatica
Gasolina,13700.0,2013,camioneta,automatica
Gasolina,8800.0,2011,camioneta,automatica
Gasolina,33900.0,2023,camioneta,automatica
Gasolina,29900.0,2017,camioneta,automatica
Gasolina,31990.0,2018,camioneta,automatica
Gasolina,19500.0,2024,camioneta,mecanica
Gasolina,22200.0,2017,camioneta,automatica
Gasolina,17900.0,2020,camioneta,automatica
Gasolina,11200.0,2020,sedan,mecanica
Dual,13950.0,2020,sedan,mecanica
Gasolina,10490.0,2012,camioneta,automatica
Dual,10450.0,2023,camioneta,mecanica
Gasolina,21000.0,2017,camioneta,mecanica
Gasolina,19000.0,2013,camioneta,automatica
Dual,6500.0,2000,camioneta,automatica
Gasolina,18000.0,2023,camioneta,automatica
Gasolina,34500.0,2023,camioneta,automatica
Gasolina,24000.0,2019,camioneta,automatica
Gasolina,29000.0,2019,camioneta,automatica
Gasolina,19500.0,2019,camioneta,automatica
Gasolina,11200.0,2014,camioneta,automatica
Gasolina,21990.0,2015,camioneta,automatica
Gasolina,12499.0,2017,sedan,automatica
Gasolina,10200.0,2022,sedan,mecanica
Dual,11400.0,2020,camioneta,mecanica
Gasolina,16500.0,2014,camioneta,automatica
Gasolina,15000.0,2015,camioneta,automatica
Gasolina,15500.0,2018,camioneta,automatica
Gasolina,10500.0,2006,sedan,automatica
Gasolina,35000.0,2020,camioneta,automatica
Gasolina,21500.0,2019,camioneta,automatica
Gasolina,18300.0,2020,camioneta,automatica
