fuel,subcategory,transmission,price,year
1.0,0.0,0.0,9900.0,2012.0
0.0,1.0,1.0,11800.0,2013.0
1.0,0.0,0.0,21500.0,2019.0
1.0,0.0,1.0,15900.0,2023.0
1.0,0.0,0.0,20999.0,2023.0
1.0,1.0,0.0,13500.0,2017.0
1.0,0.0,0.0,42500.0,2022.0
1.0,0.0,0.0,43900.0,2018.0
1.0,1.0,0.0,8000.0,2008.0
1.0,0.0,0.0,11600.0,2009.0
1.0,0.0,1.0,10800.0,2015.0
1.0,1.0,0.0,14000.0,2020.0
1.0,1.0,0.0,16500.0,2015.0
1.0,0.0,0.0,32500.0,2019.0
1.0,0.0,0.0,30000.0,2017.0
1.0,0.0,1.0,23200.0,2023.0
1.0,0.0,0.0,26300.0,2023.0
1.0,0.0,0.0,12599.0,2018.0
1.0,0.0,0.0,22000.0,2021.0
1.0,0.0,0.0,12800.0,2018.0
1.0,0.0,0.0,26900.0,2024.0
1.0,0.0,0.0,38500.0,2024.0
1.0,0.0,0.0,34499.0,2024.0
0.0,0.0,1.0,18500.0,2025.0
1.0,1.0,1.0,11500.0,1963.0
1.0,0.0,0.0,21800.0,2024.0
1.0,0.0,0.0,18400.0,2018.0
1.0,0.0,0.0,14500.0,2013.0
1.0,0.0,0.0,32000.0,2020.0
1.0,0.0,0.0,17300.0,2018.0
0.0,1.0,1.0,9200.0,2014.0
1.0,0.0,0.0,23990.0,2025.0
1.0,1.0,0.0,16500.0,2016.0
1.0,0.0,1.0,18800.0,2020.0
1.0,1.0,1.0,9000.0,2015.0
1.0,0.0,0.0,42500.0,2015.0
1.0,0.0,0.0,16900.0,2024.0
0.0,1.0,1.0,8550.0,2019.0
1.0,0.0,0.0,35000.0,2021.0
1.0,0.0,0.0,18900.0,2020.0
1.0,0.0,0.0,32500.0,2021.0
1.0,0.0,1.0,5990.0,2010.0
1.0,0.0,1.0,16900.0,2023.0
1.0,0.0,1.0,18000.0,2019.0
1.0,0.0,1.0,20800.0,2022.0
1.0,0.0,0.0,10500.0,2013.0
1.0,0.0,1.0,17700.0,2023.0
1.0,1.0,0.0,14600.0,2012.0
1.0,0.0,0.0,22200.0,2018.0
1.0,1.0,1.0,11300.0,2016.0
1.0,1.0,1.0,7200.0,2015.0
1.0,0.0,0.0,18500.0,2017.0
1.0,0.0,0.0,38500.0,2024.0
1.0,0.0,1.0,7900.0,2014.0
1.0,1.0,0.0,11000.0,2010.0
1.0,0.0,0.0,20900.0,2016.0
1.0,0.0,0.0,33000.0,2023.0
1.0,0.0,0.0,10700.0,2013.0
1.0,0.0,0.0,22800.0,2020.0
1.0,0.0,0.0,20500.0,2014.0
1.0,0.0,0.0,15350.0,2019.0
1.0,0.0,0.0,15000.0,2020.0
1.0,1.0,1.0,22000.0,2019.0
1.0,1.0,1.0,17000.0,2025.0
0.0,0.0,0.0,12900.0,2014.0
0.0,1.0,1.0,13300.0,2023.0
1.0,0.0,0.0,24900.0,2020.0
1.0,0.0,0.0,38000.0,2021.0
1.0,0.0,0.0,40000.0,2021.0
1.0,0.0,1.0,16499.0,2018.0
1.0,1.0,1.0,18900.0,2025.0
1.0,0.0,0.0,18900.0,2022.0
1.0,0.0,0.0,20500.0,2020.0
1.0,1.0,0.0,9990.0,2011.0
1.0,1.0,1.0,6350.0,2008.0
1.0,0.0,0.0,18500.0,2020.0
1.0,1.0,0.0,11500.0,2014.0
1.0,0.0,1.0,14000.0,2019.0
1.0,0.0,0.0,18000.0,2018.0
1.0,0.0,0.0,17500.0,2023.0
1.0,0.0,0.0,30000.0,2016.0
1.0,0.0,0.0,23000.0,2022.0
1.0,0.0,0.0,22900.0,2018.0
1.0,0.0,0.0,23990.0,2025.0
0.0,0.0,1.0,23900.0,2007.0
1.0,1.0,1.0,7500.0,1967.0
1.0,0.0,0.0,28000.0,2024.0
1.0,0.0,0.0,5800.0,2001.0
1.0,1.0,0.0,17800.0,2019.0
1.0,0.0,0.0,27800.0,2024.0
1.0,0.0,0.0,7300.0,2004.0
1.0,0.0,0.0,15600.0,2015.0
1.0,0.0,0.0,52450.0,2019.0
0.0,1.0,1.0,5500.0,2010.0
1.0,0.0,0.0,19000.0,2023.0
1.0,0.0,0.0,41000.0,2017.0
1.0,1.0,0.0,5000.0,2008.0
1.0,1.0,0.0,39900.0,2023.0
1.0,0.0,1.0,16900.0,2024.0
1.0,0.0,0.0,15400.0,2013.0
1.0,0.0,0.0,23000.0,2013.0
1.0,0.0,0.0,23900.0,2023.0
1.0,0.0,1.0,6950.0,2013.0
1.0,0.0,0.0,27000.0,2015.0
1.0,0.0,0.0,19500.0,2023.0
1.0,0.0,1.0,9500.0,2011.0
1.0,0.0,0.0,15900.0,2022.0
0.0,0.0,1.0,18200.0,2024.0
1.0,1.0,0.0,14900.0,2024.0
1.0,1.0,0.0,13900.0,2016.0
1.0,1.0,0.0,7900.0,2010.0
1.0,1.0,0.0,19900.0,2018.0
1.0,0.0,0.0,16000.0,2018.0
1.0,0.0,0.0,27000.0,2016.0
1.0,0.0,0.0,29200.0,2017.0
1.0,0.0,1.0,14700.0,2016.0
1.0,0.0,1.0,15700.0,2026.0
1.0,1.0,1.0,2500.0,1992.0
0.0,0.0,1.0,11900.0,2019.0
1.0,0.0,0.0,15000.0,2012.0
