fuel,location,price,year,subcategory,transmission
otro,lima,31990.0,2025,camioneta,automatica
otro,lima,20000.0,2022,camioneta,automatica
gasolina,lima,56000.0,2019,camioneta,automatica
gasolina,lima,27900.0,2023,otros,secuencial
gasolina,lima,16900.0,2015,camioneta,automatica
gasolina,lima,165900.0,2025,camioneta,secuencial
gasolina,lima,100000.0,2020,camioneta,secuencial
gasolina,lima,19900.0,2014,camioneta,secuencial
otro,lima,24490.0,2023,otros,mecanica
gasolina,lima,25500.0,2024,camioneta,automatica
otro,lima,11490.0,2022,otros,mecanica
gasolina,lima,21990.0,2021,camioneta,automatica
otro,lima,14500.0,2018,camioneta,automatica
gasolina,lima,44900.0,2021,camioneta,automatica
otro,lima,21990.0,2023,camioneta,automatica
gasolina,lima,46000.0,2024,camioneta,automatica
gasolina,lima,95000.0,2021,camioneta,secuencial
gasolina,lima,87991.0,2025,camioneta,automatica
gasolina,lima,16900.0,2016,camioneta,automatica
gasolina,lima,23900.0,2024,camioneta,automatica
gasolina,lima,25500.0,2020,otros,automatica
gasolina,lima,24900.0,2023,camioneta,secuencial
gasolina,lima,49500.0,2022,otros,automatica
gasolina,lima,29000.0,2024,camioneta,automatica
gasolina,lima,28900.0,2023,camioneta,automatica
gasolina,lima,54990.0,2023,deportivo,secuencial
gasolina,lima,19900.0,2022,camioneta,automatica
gasolina,lima,47000.0,2024,camioneta,automatica
otro,lima,60900.0,2025,camioneta,automatica
otro,lima,20990.0,2022,camioneta,mecanica
gasolina,lima,229000.0,2021,camioneta,secuencial
gasolina,lima,22500.0,2022,camioneta,secuencial
otro,lima,101900.0,2023,camioneta,automatica
otro,lima,33000.0,2023,camioneta,secuencial
gasolina,lima,18900.0,2012,camioneta,secuencial
gasolina,lima,13900.0,2016,otros,secuencial
gasolina,lima,8990.0,2014,otros,mecanica
gasolina,lima,42900.0,2020,camioneta,automatica
gasolina,lima,18200.0,2023,camioneta,automatica
gasolina,lima,44900.0,2018,camioneta,secuencial
gasolina,lima,17900.0,2017,otros,automatica
gasolina,lima,11500.0,2023,otros,automatica
gasolina,lima,16900.0,2017,camioneta,automatica
otro,lima,24500.0,2016,otros,mecanica
gasolina,provincia,26000.0,2025,camioneta,automatica
gasolina,lima,30500.0,2023,deportivo,automatica
gasolina,lima,26500.0,2024,camioneta,secuencial
gasolina,lima,37900.0,2023,otros,secuencial
gasolina,lima,160000.0,2022,otros,secuencial
gasolina,lima,17990.0,2022,camioneta,mecanica
gasolina,lima,12900.0,2017,camioneta,mecanica
otro,lima,36800.0,2024,camioneta,secuencial
gasolina,lima,56990.0,2023,deportivo,secuencial
gasolina,lima,15900.0,2019,otros,automatica
gasolina,lima,29900.0,2008,deportivo,mecanica
gasolina,lima,18900.0,2024,camioneta,automatica
gasolina,lima,9900.0,2020,camioneta,secuencial
gasolina,lima,75000.0,2018,camioneta,secuencial
otro,lima,17000.0,2023,camioneta,mecanica
gasolina,lima,10900.0,2015,camioneta,secuencial
gasolina,lima,24900.0,2024,camioneta,automatica
otro,lima,98900.0,2024,camioneta,secuencial
gasolina,provincia,17500.0,2025,camioneta,mecanica
gasolina,lima,54500.0,2025,camioneta,automatica
gasolina,lima,28000.0,2023,otros,automatica
gasolina,lima,21990.0,2022,camioneta,automatica
gasolina,lima,53900.0,2021,camioneta,secuencial
gasolina,lima,16700.0,2023,camioneta,secuencial
otro,lima,18990.0,2025,otros,mecanica
gasolina,lima,57900.0,2024,camioneta,secuencial
gasolina,lima,36500.0,2022,camioneta,automatica
gasolina,lima,24900.0,2018,camioneta,secuencial
gasolina,lima,15900.0,2020,camioneta,automatica
gasolina,lima,36900.0,2020,camioneta,secuencial
gasolina,lima,31900.0,2021,camioneta,secuencial
gasolina,lima,40900.0,2023,otros,automatica
gasolina,lima,15290.0,2022,otros,automatica
otro,lima,12000.0,2023,otros,automatica
gasolina,lima,21500.0,2016,camioneta,secuencial
gasolina,lima,40900.0,2022,camioneta,secuencial
gasolina,lima,19990.0,2021,camioneta,secuencial
gasolina,lima,20500.0,2024,otros,secuencial
gasolina,lima,29200.0,2024,camioneta,secuencial
gasolina,lima,33900.0,2025,otros,secuencial
gasolina,lima,49990.0,2017,camioneta,secuencial
gasolina,lima,20900.0,2018,camioneta,secuencial
otro,lima,16000.0,2023,camioneta,mecanica
gasolina,lima,26900.0,2020,otros,automatica
gasolina,lima,22490.0,2018,camioneta,automatica
gasolina,lima,19990.0,2024,camioneta,automatica
gasolina,provincia,16800.0,2019,camioneta,automatica
otro,lima,25900.0,2023,otros,mecanica
gasolina,lima,99990.0,2017,camioneta,secuencial
gasolina,lima,12500.0,2021,camioneta,secuencial
gasolina,lima,35190.0,2024,camioneta,automatica
gasolina,lima,12190.0,2023,camioneta,secuencial
gasolina,lima,8500.0,2019,camioneta,automatica
otro,lima,32990.0,2025,camioneta,secuencial
otro,lima,69991.0,2023,camioneta,automatica
otro,lima,29000.0,2023,camioneta,secuencial
otro,lima,76900.0,2026,deportivo,automatica
gasolina,lima,22900.0,2024,camioneta,secuencial
gasolina,lima,23990.0,2024,camioneta,automatica
otro,lima,119900.0,2025,camioneta,secuencial
gasolina,lima,63500.0,2024,camioneta,automatica
otro,lima,29500.0,2019,camioneta,secuencial
otro,lima,12000.0,2023,camioneta,automatica
gasolina,lima,29990.0,2019,camioneta,secuencial
gasolina,lima,24500.0,2025,camioneta,secuencial
otro,lima,69900.0,2023,otros,secuencial
otro,lima,52990.0,2022,camioneta,automatica
gasolina,lima,33900.0,2022,camioneta,automatica
gasolina,lima,30000.0,2023,camioneta,automatica
gasolina,lima,10500.0,2020,otros,automatica
otro,lima,23900.0,2024,camioneta,automatica
gasolina,lima,22900.0,2019,deportivo,secuencial
gasolina,lima,22500.0,2016,camioneta,automatica
otro,lima,83000.0,2025,camioneta,automatica
gasolina,lima,62900.0,2019,deportivo,secuencial
gasolina,lima,13900.0,2020,otros,automatica
gasolina,lima,18900.0,2024,camioneta,automatica
gasolina,lima,16800.0,2021,camioneta,automatica
otro,lima,38000.0,2019,camioneta,secuencial
otro,lima,22490.0,2023,otros,mecanica
gasolina,lima,19900.0,2024,camioneta,automatica
gasolina,lima,18900.0,2024,camioneta,automatica
gasolina,lima,20900.0,2020,camioneta,secuencial
gasolina,lima,15990.0,2018,camioneta,secuencial
gasolina,lima,72900.0,2016,otros,secuencial
gasolina,lima,30900.0,2022,otros,secuencial
otro,provincia,33000.0,2025,camioneta,secuencial
otro,lima,159990.0,2024,camioneta,automatica
otro,lima,13990.0,2023,camioneta,mecanica
gasolina,lima,26500.0,2018,camioneta,secuencial
gasolina,lima,109990.0,2025,camioneta,secuencial
gasolina,lima,28000.0,2019,camioneta,automatica
gasolina,lima,19900.0,2020,camioneta,secuencial
gasolina,lima,21900.0,2017,otros,secuencial
gasolina,lima,43990.0,2020,camioneta,automatica
gasolina,lima,24000.0,2024,camioneta,automatica
gasolina,provincia,23900.0,2020,camioneta,automatica
gasolina,lima,59990.0,2024,otros,secuencial
gasolina,lima,29900.0,2022,camioneta,secuencial
gasolina,provincia,26900.0,2022,camioneta,secuencial
gasolina,lima,9500.0,2015,otros,mecanica
otro,lima,24900.0,2023,otros,mecanica
otro,lima,52000.0,2024,camioneta,automatica
gasolina,lima,106990.0,2024,deportivo,automatica
gasolina,lima,29900.0,2017,otros,secuencial
otro,lima,55991.0,2023,camioneta,automatica
gasolina,lima,69990.0,2018,camioneta,secuencial
gasolina,lima,14900.0,2011,camioneta,automatica
gasolina,provincia,26000.0,2020,camioneta,automatica
gasolina,provincia,13900.0,2015,camioneta,secuencial
gasolina,lima,27900.0,2019,camioneta,automatica
gasolina,lima,56000.0,2024,camioneta,automatica
gasolina,lima,23900.0,2018,camioneta,automatica
gasolina,lima,20900.0,2024,camioneta,automatica
gasolina,lima,44900.0,2018,camioneta,secuencial
gasolina,lima,159000.0,2021,camioneta,secuencial
gasolina,lima,19990.0,2018,camioneta,secuencial
otro,lima,26900.0,2022,otros,mecanica
gasolina,lima,32900.0,2023,deportivo,automatica
gasolina,lima,23900.0,2022,otros,automatica
gasolina,lima,24900.0,2020,otros,secuencial
gasolina,lima,15800.0,2019,otros,secuencial
gasolina,lima,99900.0,2024,otros,secuencial
gasolina,lima,62900.0,2021,camioneta,secuencial
otro,lima,34500.0,2017,camioneta,automatica
gasolina,lima,33500.0,2023,camioneta,automatica
gasolina,lima,27000.0,2020,camioneta,automatica
gasolina,lima,84900.0,2025,camioneta,automatica
otro,lima,47500.0,2022,camioneta,mecanica
otro,lima,17900.0,2017,otros,mecanica
gasolina,lima,31990.0,2024,camioneta,secuencial
otro,lima,38500.0,2025,camioneta,secuencial
gasolina,provincia,20500.0,2024,camioneta,mecanica
otro,lima,28000.0,2019,camioneta,secuencial
gasolina,lima,29900.0,2019,camioneta,automatica
gasolina,lima,24900.0,2022,camioneta,automatica
otro,lima,67990.0,2022,camioneta,automatica
otro,lima,46000.0,2024,camioneta,automatica
gasolina,lima,28500.0,2022,camioneta,automatica
gasolina,lima,23000.0,2018,camioneta,automatica
gasolina,lima,19500.0,2015,otros,secuencial
gasolina,lima,45900.0,2023,camioneta,secuencial
gasolina,lima,18900.0,2015,camioneta,secuencial
otro,lima,39900.0,2023,otros,secuencial
gasolina,provincia,30000.0,2021,camioneta,automatica
gasolina,lima,9900.0,2011,camioneta,secuencial
gasolina,lima,17500.0,2018,otros,secuencial
gasolina,lima,24900.0,2019,camioneta,automatica
gasolina,lima,40700.0,2020,camioneta,automatica
gasolina,lima,22000.0,2021,camioneta,automatica
